incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,preproc_priority,preproc_impact,preproc_urgency,duration_process,gt1,gt2,gt3,gt4
INC0000784,C,19/4/2016 16:07,False,0,0,18,False,Caller 3890,Opened by  221,1/3/2016 15:05,?,?,Updated by 908,Phone,Location 68,Category 22,Subcategory 40,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 75,Resolver 230,True,True,Do Not Notify,?,?,?,?,code 3,Resolved by 209,14/4/2016 15:24,19/4/2016 16:07,2,2,2,1177.04,26.7,37.379999999999995,1177,5.34
INC0000850,C,9/3/2016 17:00,False,0,0,5,True,Caller 2471,?,1/3/2016 16:55,?,?,Updated by 908,Phone,Location 204,Category 40,Subcategory 44,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 175,4/3/2016 16:09,9/3/2016 17:00,2,2,2,192.07999999999998,26.7,42.72,192,5.34
INC0000887,C,24/3/2016 18:40,False,0,0,8,False,Caller 3130,Opened by  305,1/3/2016 18:13,Created by 130,1/3/2016 18:31,Updated by 908,Phone,Location 204,Category 55,Subcategory 185,Symptom 581,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,Resolver 169,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 152,9/3/2016 14:28,24/3/2016 18:40,2,2,2,552.16,26.7,37.379999999999995,552,5.34
INC0000890,C,6/3/2016 19:00,False,0,0,4,True,Caller 5471,Opened by  221,1/3/2016 18:33,?,?,Updated by 908,Phone,Location 143,Category 42,Subcategory 31,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 126,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 103,1/3/2016 18:49,6/3/2016 19:00,2,2,2,120.45,21.36,48.06,120,5.34
INC0000897,C,27/3/2016 09:59,False,4,0,17,False,Caller 150,Opened by  239,1/3/2016 19:06,Created by 107,1/3/2016 19:10,Updated by 908,Phone,Location 55,Category 55,Subcategory 170,Symptom 560,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 11,22/3/2016 09:40,27/3/2016 09:59,2,2,2,614.8199999999999,106.8,213.6,3074,26.7
INC0000998,C,7/3/2016 11:00,False,0,0,3,True,Caller 1135,Opened by  501,2/3/2016 08:28,Created by 216,2/3/2016 08:46,Updated by 908,Phone,Location 93,Category 37,Subcategory 135,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 29,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 32,2/3/2016 10:14,7/3/2016 11:00,2,2,2,122.24,10.68,37.379999999999995,122,5.34
INC0001028,C,24/3/2016 18:59,False,2,0,19,False,Caller 3905,Opened by  131,2/3/2016 09:01,Created by 62,2/3/2016 09:04,Updated by 908,Phone,Location 204,Category 45,Subcategory 223,Symptom 310,?,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 176,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 159,16/3/2016 11:23,24/3/2016 18:59,2,2,2,537.92,16.02,144.18,1614,16.02
INC0001041,C,2/4/2016 17:59,False,14,1,26,False,Caller 3313,Opened by  24,2/3/2016 09:14,Created by 13,2/3/2016 09:17,Updated by 908,Phone,Location 204,Category 37,Subcategory 135,Symptom 87,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,True,Do Not Notify,?,?,?,?,code 5,Resolved by 113,28/3/2016 17:02,2/4/2016 17:59,2,2,2,752.6900000000002,240.29999999999998,640.8,11290,80.1
INC0001046,C,27/3/2016 17:59,False,0,0,11,False,Caller 4402,Opened by  431,2/3/2016 09:21,Created by 185,2/3/2016 09:23,Updated by 908,Phone,Location 15,Category 42,Subcategory 31,Symptom 236,?,1 - High,1 - High,1 - Critical,Group 3,Resolver 100,False,True,Do Not Notify,Problem ID  40,CHG0000336,?,?,code 7,Resolved by 90,22/3/2016 17:14,27/3/2016 17:59,4,3,3,608.6,16.02,72.09,609,8.01
INC0001075,C,24/3/2016 18:40,False,1,0,11,False,Caller 3204,Opened by  24,2/3/2016 09:48,Created by 13,2/3/2016 09:50,Updated by 908,Phone,Location 165,Category 9,Subcategory 164,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 227,7/3/2016 10:22,24/3/2016 18:40,2,2,2,536.84,32.04,85.44,1074,10.68
INC0001108,C,27/3/2016 11:59,False,2,0,13,False,Caller 614,?,2/3/2016 10:14,?,?,Updated by 908,Phone,Location 109,Category 26,Subcategory 175,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 11,22/3/2016 11:05,27/3/2016 11:59,2,2,2,601.74,80.1,96.12,1805,16.02
INC0001162,C,25/5/2016 16:07,False,0,0,28,False,Caller 3338,Opened by  267,2/3/2016 11:12,Created by 113,2/3/2016 11:13,Updated by 908,Phone,Location 204,Category 45,Subcategory 150,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 139,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 125,20/5/2016 15:27,25/5/2016 16:07,2,2,2,2020.9,26.7,26.7,2021,5.34
INC0001172,C,24/3/2016 18:59,False,1,0,16,False,Caller 3609,Opened by  40,2/3/2016 11:16,Created by 20,2/3/2016 11:18,Updated by 908,Phone,Location 179,Category 32,Subcategory 9,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 66,16/3/2016 13:41,24/3/2016 18:59,2,2,2,535.68,10.68,53.4,1071,10.68
INC0001181,C,11/4/2016 14:59,False,0,0,13,False,Caller 533,Opened by  267,2/3/2016 11:26,Created by 113,2/3/2016 11:27,Updated by 908,Phone,Location 204,Category 45,Subcategory 150,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 139,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 125,6/4/2016 14:34,11/4/2016 14:59,2,2,2,963.54,21.36,42.72,964,5.34
INC0001186,C,24/3/2016 18:40,False,1,0,7,False,Caller 3040,Opened by  180,2/3/2016 11:29,?,?,Updated by 908,Phone,Location 51,Category 61,Subcategory 16,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,8/3/2016 09:52,24/3/2016 18:40,2,2,2,535.19,42.72,53.4,1070,10.68
INC0001242,C,24/3/2016 18:40,False,0,0,11,False,Caller 3329,Opened by  468,2/3/2016 12:01,Created by 188,2/3/2016 12:03,Updated by 908,Phone,Location 51,Category 45,Subcategory 229,Symptom 235,?,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 176,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 159,9/3/2016 17:31,24/3/2016 18:40,2,2,2,534.62,26.7,37.379999999999995,535,5.34
INC0001278,C,24/3/2016 18:50,False,2,0,7,False,Caller 2826,Opened by  131,2/3/2016 12:40,?,?,Updated by 908,Phone,Location 204,Category 61,Subcategory 164,Symptom 8,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,10/3/2016 11:05,24/3/2016 18:50,2,2,2,534.17,80.1,128.16,1603,16.02
INC0001315,C,7/3/2016 14:00,False,0,0,5,True,Caller 2080,Opened by  501,2/3/2016 13:44,Created by 216,2/3/2016 13:46,Updated by 908,Phone,Location 161,Category 9,Subcategory 164,?,?,3 - Low,3 - Low,4 - Low,Group 24,Resolver 253,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 227,2/3/2016 13:58,7/3/2016 14:00,1,1,1,120.23,8.01,16.02,120,2.67
INC0001330,C,9/3/2016 17:00,False,1,0,6,True,Caller 3390,Opened by  386,2/3/2016 14:00,Created by 167,2/3/2016 14:07,Updated by 908,Phone,Location 143,Category 26,Subcategory 175,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 71,4/3/2016 16:16,9/3/2016 17:00,2,2,2,170.88,32.04,64.08,342,10.68
INC0001494,C,27/3/2016 14:59,False,2,0,10,False,Caller 3898,?,2/3/2016 16:36,Created by 18,2/3/2016 16:41,Updated by 908,Phone,Location 204,Category 53,Subcategory 303,Symptom 572,?,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 183,22/3/2016 14:30,27/3/2016 14:59,2,2,2,598.3000000000001,48.06,112.14,1795,16.02
INC0001535,C,7/3/2016 18:00,False,0,0,3,True,Caller 1369,Opened by  386,2/3/2016 17:18,?,?,Updated by 908,Phone,Location 161,Category 9,Subcategory 204,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 169,2/3/2016 17:47,7/3/2016 18:00,2,2,2,120.7,10.68,48.06,121,5.34
INC0001573,C,27/3/2016 18:59,False,8,0,24,False,Caller 5295,Opened by  305,2/3/2016 19:19,Created by 130,2/3/2016 19:31,Updated by 908,Phone,Location 143,Category 53,Subcategory 174,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 115,True,True,Do Not Notify,?,?,?,?,code 1,Resolved by 103,22/3/2016 18:45,27/3/2016 18:59,2,2,2,599.5,192.24,336.42,5396,48.06
INC0001594,C,8/3/2016 13:00,False,0,0,3,True,Caller 4671,Opened by  20,2/3/2016 22:21,Created by 12,2/3/2016 22:24,Updated by 908,Phone,Location 165,Category 45,Subcategory 29,Symptom 594,?,3 - Low,3 - Low,4 - Low,Group 55,Resolver 214,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 195,3/3/2016 12:36,8/3/2016 13:00,1,1,1,134.6,13.35,18.689999999999998,135,2.67
INC0001596,C,24/3/2016 18:40,False,0,0,4,False,Caller 4071,Opened by  305,2/3/2016 23:01,Created by 130,2/3/2016 23:09,Updated by 908,Phone,Location 204,Category 9,Subcategory 164,Symptom 117,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,?,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 53,7/3/2016 14:33,24/3/2016 18:40,2,2,2,523.52,16.02,48.06,524,5.34
INC0001650,C,8/3/2016 09:00,False,0,0,2,True,Caller 4114,Opened by  180,3/3/2016 08:47,?,?,Updated by 908,Phone,Location 204,Category 26,Subcategory 175,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 85,3/3/2016 08:52,8/3/2016 09:00,2,2,2,120.21,26.7,32.04,120,5.34
INC0001684,C,10/3/2016 00:00,False,0,0,2,True,Caller 2086,Opened by  131,3/3/2016 09:30,?,?,Updated by 908,Phone,Location 161,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 24,4/3/2016 23:08,10/3/2016 00:00,2,2,2,158.5,5.34,26.7,158,5.34
INC0001769,C,24/3/2016 18:50,False,5,0,12,False,Caller 513,Opened by  180,3/3/2016 10:40,Created by 81,3/3/2016 10:46,Updated by 908,Phone,Location 204,Category 26,Subcategory 175,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,14/3/2016 16:25,24/3/2016 18:50,2,2,2,512.0600000000001,96.12,224.28,3072,32.04
INC0001778,C,24/3/2016 18:40,False,3,0,15,False,Caller 4797,Opened by  301,3/3/2016 10:45,?,?,Updated by 908,Phone,Location 204,Category 61,Subcategory 16,Symptom 121,?,2 - Medium,1 - High,2 - High,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,9/3/2016 15:54,24/3/2016 18:40,3,2,3,511.93,21.36,149.51999999999998,2048,21.36
INC0001785,C,8/3/2016 12:00,False,0,0,4,True,Caller 1989,Opened by  191,3/3/2016 10:50,Created by 87,3/3/2016 10:53,Updated by 908,Phone,Location 197,Category 51,Subcategory 182,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,Resolver 49,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 46,3/3/2016 11:25,8/3/2016 12:00,2,2,2,121.11,21.36,48.06,121,5.34
INC0001799,C,24/3/2016 18:59,False,4,0,23,False,Caller 3428,Opened by  131,3/3/2016 11:02,?,?,Updated by 908,Phone,Location 93,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 150,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,17/3/2016 19:11,24/3/2016 18:59,2,2,2,511.94000000000005,53.4,240.29999999999998,2560,26.7
INC0001808,C,9/3/2016 17:00,False,1,0,7,True,Caller 2435,?,3/3/2016 11:09,Created by 89,3/3/2016 11:12,Updated by 908,Phone,Location 161,Category 9,Subcategory 164,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 22,4/3/2016 16:03,9/3/2016 17:00,2,2,2,149.8,10.68,74.75999999999999,300,10.68
INC0001851,C,24/3/2016 18:40,False,2,0,5,False,Caller 836,Opened by  75,3/3/2016 11:36,Created by 49,3/3/2016 11:45,Updated by 908,Phone,Location 240,Category 32,Subcategory 9,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,Resolver 229,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 38,7/3/2016 14:41,24/3/2016 18:40,2,2,2,510.92,32.04,112.14,1533,16.02
INC0001852,C,24/3/2016 18:40,False,0,0,4,False,Caller 1197,Opened by  131,3/3/2016 11:36,?,?,Updated by 908,Phone,Location 143,Category 53,Subcategory 168,Symptom 387,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,8/3/2016 14:38,24/3/2016 18:40,1,1,1,511.05999999999995,10.68,24.03,511,2.67
INC0001867,C,24/3/2016 18:40,False,3,0,16,False,Caller 2436,Opened by  131,3/3/2016 11:47,Created by 62,3/3/2016 12:00,Updated by 908,Phone,Location 85,Category 53,Subcategory 219,Symptom 4,?,3 - Low,3 - Low,4 - Low,Group 31,Resolver 182,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 165,9/3/2016 10:12,24/3/2016 18:40,1,1,1,510.67,32.04,96.12,2043,10.68
INC0001912,C,24/3/2016 18:40,False,1,0,12,False,Caller 3276,Opened by  390,3/3/2016 13:17,Created by 169,3/3/2016 13:19,Updated by 908,Phone,Location 96,Category 35,Subcategory 28,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 227,7/3/2016 09:36,24/3/2016 18:40,2,2,2,509.36,42.72,85.44,1019,10.68
INC0001942,C,24/3/2016 18:40,False,1,0,6,False,Caller 503,Opened by  390,3/3/2016 14:02,?,?,Updated by 908,Phone,Location 43,Category 26,Subcategory 175,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,Group 75,Resolver 230,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 209,7/3/2016 15:19,24/3/2016 18:40,2,2,2,508.63,32.04,53.4,1017,10.68
INC0001946,C,24/3/2016 18:40,False,1,0,5,False,Caller 4859,Opened by  55,3/3/2016 14:07,?,?,Updated by 908,Phone,Location 51,Category 61,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 180,8/3/2016 08:32,24/3/2016 18:40,2,2,2,508.53999999999996,42.72,64.08,1017,10.68
INC0001990,C,8/3/2016 16:00,False,0,0,2,True,Caller 3631,Opened by  386,3/3/2016 14:50,?,?,Updated by 908,Phone,Location 108,Category 13,Subcategory 69,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 169,3/3/2016 15:05,8/3/2016 16:00,2,2,2,121.17,10.68,42.72,121,5.34
INC0002031,C,24/3/2016 18:40,False,3,0,11,False,Caller 1683,?,3/3/2016 15:25,Created by 89,3/3/2016 15:33,Updated by 908,Phone,Location 96,Category 26,Subcategory 175,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,False,Do Not Notify,?,?,?,?,code 10,Resolved by 22,8/3/2016 11:44,24/3/2016 18:40,2,2,2,507.12,42.72,170.88,2028,21.36
INC0002045,C,24/3/2016 18:59,False,4,0,15,False,Caller 5093,?,3/3/2016 15:39,?,?,Updated by 908,Phone,Location 93,Category 53,Subcategory 50,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,17/3/2016 11:50,24/3/2016 18:59,2,2,2,507.34000000000003,80.1,240.29999999999998,2537,26.7
INC0002058,C,24/3/2016 18:59,False,1,0,11,False,Caller 4420,Opened by  221,3/3/2016 15:46,Created by 98,3/3/2016 15:55,Updated by 908,Phone,Location 55,Category 45,Subcategory 200,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 153,True,False,Do Not Notify,?,CHG0000293,?,?,code 6,Resolved by 137,17/3/2016 10:18,24/3/2016 18:59,2,2,2,507.07,42.72,64.08,1014,10.68
INC0002069,C,24/3/2016 18:40,False,1,1,9,False,Caller 3170,?,3/3/2016 16:03,Created by 89,3/3/2016 16:08,Updated by 908,Phone,Location 93,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 188,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 171,8/3/2016 11:08,24/3/2016 18:40,2,2,2,506.53,21.36,64.08,1013,10.68
INC0002113,C,9/3/2016 11:00,False,1,0,5,True,Caller 5555,Opened by  55,3/3/2016 16:48,?,?,Updated by 908,Phone,Location 204,Category 24,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 107,4/3/2016 10:22,9/3/2016 11:00,2,2,2,138.2,42.72,85.44,276,10.68
INC0002123,C,24/3/2016 18:40,False,0,0,8,False,Caller 462,?,3/3/2016 17:00,Created by 89,3/3/2016 17:09,Updated by 908,Phone,Location 108,Category 53,Subcategory 168,Symptom 116,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 100,7/3/2016 16:11,24/3/2016 18:40,2,2,2,505.51,26.7,37.379999999999995,506,5.34
INC0002176,C,24/3/2016 18:59,False,4,0,12,False,Caller 2593,Opened by  305,3/3/2016 19:08,Created by 130,3/3/2016 19:13,Updated by 908,Phone,Location 204,Category 45,Subcategory 229,Symptom 215,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 13,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,18/3/2016 14:41,24/3/2016 18:59,2,2,2,503.77000000000004,26.7,186.9,2519,26.7
INC0002283,C,9/3/2016 17:00,False,0,0,7,True,Caller 3147,Opened by  501,4/3/2016 08:53,Created by 216,4/3/2016 08:53,Updated by 908,Phone,Location 93,Category 53,Subcategory 13,?,?,3 - Low,2 - Medium,4 - Low,Group 23,Resolver 215,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 196,4/3/2016 16:58,9/3/2016 17:00,1,1,2,128.12,13.35,16.02,128,2.67
INC0002329,C,18/10/2016 12:00,False,0,0,3,False,Caller 5071,Opened by  120,4/3/2016 09:48,Created by 59,4/3/2016 09:50,Updated by 908,Phone,Location 204,Category 45,Subcategory 107,Symptom 469,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 124,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 57,13/10/2016 10:48,18/10/2016 12:00,2,2,2,5474.17,21.36,26.7,5474,5.34
